chartPosition	songName 	artistName	chartYear
1	Somebody That I Used to Know	Gotye featuring Kimbra	2012
2	Call Me Maybe	Carly Rae Jepsen	2012
3	We Are Young	Fun featuring Janelle Monáe	2012
4	Payphone	Maroon 5 featuring Wiz Khalifa	2012
5	Lights	Ellie Goulding	2012
6	Glad You Came	The Wanted	2012
7	Stronger (What Doesn't Kill You)	Kelly Clarkson	2012
8	We Found Love	Rihanna featuring Calvin Harris	2012
9	Starships	Nicki Minaj	2012
10	What Makes You Beautiful	One Direction	2012
11	Wild Ones	Flo Rida featuring Sia	2012
12	Set Fire to the Rain	Adele	2012
13	Sexy and I Know It	LMFAO	2012
14	Some Nights	Fun	2012
15	Wide Awake	Katy Perry	2012
16	Good Feeling	Flo Rida	2012
17	Whistle	Flo Rida	2012
18	One More Night	Maroon 5	2012
19	Drive By	Train	2012
20	The Motto	Drake featuring Lil Wayne	2012
21	Where Have You Been	Rihanna	2012
22	Everybody Talks	Neon Trees	2012
23	Take Care	Drake featuring Rihanna	2012
24	Titanium	David Guetta featuring Sia	2012
25	I Won't Give Up	Jason Mraz	2012
26	It Will Rain	Bruno Mars	2012
27	Mercy	Kanye West, Big Sean, Pusha T and 2 Chainz	2012
28	Boyfriend	Justin Bieber	2012
29	Party Rock Anthem	LMFAO featuring Lauren Bennett and GoonRock	2012
30	Too Close	Alex Clare	2012
31	Part of Me	Katy Perry	2012
32	Young, Wild & Free	Snoop Dogg and Wiz Khalifa featuring Bruno Mars	2012
33	We Are Never Ever Getting Back Together	Taylor Swift	2012
34	As Long as You Love Me	Justin Bieber featuring Big Sean	2012
35	Turn Me On	David Guetta featuring Nicki Minaj	2012
36	Moves like Jagger	Maroon 5 featuring Christina Aguilera	2012
37	Blow Me (One Last Kiss)	Pink	2012
38	Good Time	Owl City and Carly Rae Jepsen	2012
39	Give Your Heart a Break	Demi Lovato	2012
40	Niggas in Paris	Jay-Z and Kanye West	2012
41	The One That Got Away	Katy Perry	2012
42	Feel So Close	Calvin Harris	2012
43	Someone like You	Adele	2012
44	Scream	Usher	2012
45	Rack City	Tyga	2012
46	Domino	Jessie J	2012
47	Gangnam Style	Psy	2012
48	International Love	Pitbull featuring Chris Brown	2012
49	Home	Phillip Phillips	2012
50	Without You	David Guetta featuring Usher	2012
51	Ass Back Home	Gym Class Heroes featuring Neon Hitch	2012
52	Wanted	Hunter Hayes	2012
53	Drunk on You	Luke Bryan	2012
54	No Lie	2 Chainz featuring Drake	2012
55	Want U Back	Cher Lloyd	2012
56	Don't Wake Me Up	Chris Brown	2012
57	Dance (A$$)	Big Sean featuring Nicki Minaj	2012
58	Springsteen	Eric Church	2012
59	Brokenhearted	Karmin	2012
60	Not Over You	Gavin DeGraw	2012
61	Stereo Hearts	Gym Class Heroes featuring Adam Levine	2012
62	Back in Time	Pitbull	2012
63	Work Out	J. Cole	2012
